ticker,weight,units,entry_price,snapshot_type
ALCPB.PA,10.0,15.37988311,0.6502,initial
ASST,15.0,0.94221106,15.92,initial
CASH3.SA,3.0,0.69284065,4.33,initial
GS9.F,7.0,56.0,0.125,initial
MSTR,27.0,0.14393091,187.59,initial
MTPLF,23.0,10.31390135,2.23,initial
OBTC3.SA,8.0,1.14449213,6.99,initial
STRC,4.0,0.040004,99.99,initial
SWC.L,3.0,0.07692308,39.0,initial
